Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,C19702
C10,0402,1,100n,C1525
"C11, C5",0603,2,30pF,C1658
"C12, C15, C18, C21, C22, C28, C3",0402,7,100nF,
"C13, C17, C19",0603,3,4.7uF,
"C14, C16, C4, C6, C8, C9",0402,6,100nF,C1525
C2,0603,1,10uF,
"C20, C23",0603,2,22uF,
"C24, C27",0603,2,2.2uF,
"C25, C26",0603,2,1uF,
"C29, C31, C33",0201,3,1uF,
"C30, C34",0201,2,100nF,
C32,0201,1,22uF,
C7,0402,1,1u,C52923
D1,D_SMA,1,SS210,C14996
IC1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADR4550BRZ,
IC2,TSSOP-20_4.4x6.5mm_P0.65mm,1,INA253A2IPWR,
IC3,LQFP-64_10x10mm_P0.5mm,1,STM32F446RCT6,C915971
IC4,TSOT-23-6,1,MP2459GJ-Z,C39578
IC5,MSOP-10_3x3mm_P0.5mm,1,AD7685CRMZ,
IC6,TSOT-23-5,1,ADP7142AUJZ-5.0,C659367
IC7,SOT-23-3,1,XC6206P332MR-G,C5446
IC8,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
IC9,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,1,DRV8703QRHBRQ1,C181573
J1,Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical,1,Conn_Enc,
J2,Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal,1,Conn_CAN,
L1,0402,1,39n,C26443
L2,L_Coilcraft_LPS5030,1,10uH,C20417074
"Q1, Q2, Q3, Q4",TDSON-8-1,4,CSD18540Q5B,
R1,0402,1,100k,
R2,0402,1,576k,
"R3, R4, R5",0402,3,10k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,C202388
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI, C9002
