Designator,Mid X,Mid Y,Rotation,Layer
C1,139.49,-82.18,0.0,top
C10,153.82,-89.13,0.0,top
C11,139.49,-89.71,0.0,top
C12,153.82,-91.1,0.0,top
C13,143.5,-82.18,0.0,top
C14,153.82,-93.07,0.0,top
C15,153.82,-95.04,0.0,top
C16,156.69,-87.16,0.0,top
C17,143.5,-84.69,0.0,top
C18,156.69,-89.13,0.0,top
C19,147.51,-87.2,0.0,top
C2,139.49,-84.69,0.0,top
C20,143.5,-87.2,0.0,top
C21,102.602229,-77.017157,0.0,top
C22,156.69,-91.1,0.0,top
C23,103.90223,-82.517157,180.0,top
C24,147.51,-84.69,0.0,top
C25,143.5,-89.71,0.0,top
C26,147.51,-82.18,0.0,top
C27,147.51,-89.71,0.0,top
C28,156.69,-93.07,0.0,top
C29,138.875003,-95.715001,0.0,top
C3,150.95,-87.16,0.0,top
C30,138.875003,-99.515001,0.0,top
C31,138.875003,-97.615001,0.0,top
C32,138.875003,-101.415001,0.0,top
C33,138.875003,-91.915001,0.0,top
C34,138.875003,-93.815001,0.0,top
C4,150.95,-89.13,0.0,top
C5,139.49,-87.2,0.0,top
C6,150.95,-91.1,0.0,top
C7,150.95,-93.07,0.0,top
C8,150.95,-95.04,0.0,top
C9,153.82,-87.16,0.0,top
D1,102.502229,-74.617157,180.0,top
IC1,132.025,-112.705,270.0,top
IC2,142.4375,-118.925,180.0,bottom
IC3,144.71,-73.7,270.0,top
IC4,102.752229,-79.454659,180.0,top
IC5,134.9,-118.7,90.0,top
IC6,125.1375,-115.95,180.0,top
IC7,160.7,-88.575,180.0,top
IC8,168.425,-75.905,270.0,top
IC9,132.93,-96.97,90.0,top
J1,154.54,-84.0,0.0,top
J2,178.1,-75.699999,270.0,top
L1,164.73,-87.17,0.0,top
L2,108.20223,-79.289657,270.0,top
Q1,133.38,-83.25,270.0,top
Q2,133.38,-89.96,270.0,top
Q3,133.38,-69.83,270.0,top
Q4,133.38,-76.54,270.0,top
R1,100.70223,-81.817157,180.0,top
R2,100.002229,-80.107158,90.0,top
R3,164.73,-93.14,0.0,top
R4,164.73,-91.15,0.0,top
R5,164.73,-89.16,0.0,top
SW1,162.84,-83.15,0.0,top
Y1,163.01,-68.7,0.0,top
